sap
sag
sat
sass
sad
sop
sob
sell
set
says
tar
tap
tab
tag
tad
tour
top
toll
tell
tough
tub
tug
car
cap
cab
cat
cad
core
cop
cog
cot
cod
keg
cuff
cur
cup
cub
cull
cut
cuss
pal
pat
pass
pad
pour
poll
pot
pod
pep
peg
pet
puff
pup
pub
pull
pug
put
pus
war
wag
wad
was
wore
web
well
wet
wed
half
hag
hat
had
has
hop
hog
hot
her
hell
head
huff
hub
hull
hug
hut
rap
rag
rat
roar
rob
roll
rot
rod
red
rough
rub
rug
rut
